date,station_number,mean_visibility,snow
2005-01-01,725300,9.899999618530273,False
2005-01-02,725300,6.099999904632568,True
2005-01-03,725300,6.300000190734863,True
2005-01-04,725300,7.699999809265137,True
2005-01-05,725300,2.0,True
2005-01-06,725300,4.199999809265137,True
2005-01-07,725300,8.699999809265137,True
2005-01-08,725300,7.900000095367432,True
2005-01-09,725300,7.599999904632568,True
2005-01-10,725300,8.399999618530273,True
2005-01-11,725300,4.699999809265137,True
2005-01-12,725300,3.0999999046325684,True
2005-01-13,725300,5.5,True
2005-01-14,725300,9.899999618530273,False
2005-01-15,725300,9.899999618530273,False
2005-01-16,725300,9.899999618530273,False
2005-01-17,725300,9.899999618530273,False
2005-01-18,725300,9.899999618530273,False
2005-01-19,725300,7.400000095367432,True
2005-01-20,725300,4.599999904632568,True
2005-01-21,725300,9.199999809265137,False
2005-01-22,725300,1.7000000476837158,True
2005-01-23,725300,8.0,False
2005-01-24,725300,9.899999618530273,False
2005-01-25,725300,7.699999809265137,True
2005-01-26,725300,7.699999809265137,True
2005-01-27,725300,4.800000190734863,True
2005-01-28,725300,9.899999618530273,False
2005-01-29,725300,9.899999618530273,False
2005-01-30,725300,8.800000190734863,True
2005-01-31,725300,7.5,True
2005-02-01,725300,8.800000190734863,True
2005-02-02,725300,7.300000190734863,True
2005-02-03,725300,6.699999809265137,True
2005-02-04,725300,4.900000095367432,True
2005-02-05,725300,6.199999809265137,True
2005-02-06,725300,7.699999809265137,True
2005-02-07,725300,3.799999952316284,True
2005-02-08,725300,8.899999618530273,True
2005-02-09,725300,8.199999809265137,True
2005-02-10,725300,8.899999618530273,False
2005-02-11,725300,8.199999809265137,True
2005-02-12,725300,9.699999809265137,False
2005-02-13,725300,5.300000190734863,True
2005-02-14,725300,5.800000190734863,True
2005-02-15,725300,5.900000095367432,True
2005-02-16,725300,9.5,True
2005-02-17,725300,9.699999809265137,False
2005-02-18,725300,10.0,False
2005-02-19,725300,9.899999618530273,False
2005-02-20,725300,4.0,True
2005-02-21,725300,8.399999618530273,True
2005-02-22,725300,6.699999809265137,True
